;Cod_Interaguas;C¢digo Ponto;Status Ponto;Data Coleta;Hora Coleta;Turbidez (UNT);Zinco total mg/l;Ferro dissolvido mg/l;Tricloreteno  æg/L;trans-1,2-Dicloroeteno æg/L;Tolueno   æg/L;Tetracloroeteno æg/L;Tetracloreto de Carbono  æg/L;;terc-Butilbenzeno æg/L;Temperatura do ar Cø;Temperatura Da Agua Cø;Sulfato total mg/l;Subst. Tensoat. reagem c/ Azul mg/l Metileno;S¢lido Total;S¢lido Dissolvido Total mg/l;S¢dio mg/l;sec-Butilbenzeno æg/L;Salinidade;Pot ssio mg/l;p-Isopropiltolueno  æg/L;Pireno æg/L ;PH U.pH;o-Xileno æg/L;Oxigˆnio Dissolvido mg/l;n-Propilbenzeno æg/L;Nitrogˆnio-Nitrito mg/l;Nitrogˆnio-Nitrato mg/L;Nitrogˆnio Kjeldahl mg/l;Nitrogˆnio Amoniacal mg/L;N¡quel Total mg/L;n-Butilbenzeno æg/L;Naftaleno  æg/L;Merc£rio Total mg/L;Manganˆs Total mg/L;Magn‚sio Total mg/L;m,p-Xileno æg/L;Isopropilbenzeno æg/L;Indeno(1,2,3-cd)pireno  æg/L;Hexaclorobutadieno æg/L;F¢sforo-Ortofosfato mg/L;F¢sforo Total mg/l;Fluoreto Total mg/L;Fluoreno æg/L;Fluoranteno æg/L;Ferro Total mg/L;Feofitina-a æg/L;Fenantreno æg/L;Etilbenzeno æg/L;Estireno æg/L ;Escherichia coli** UFC/100mL;Dureza mg/L;Dibromometano æg/L;Dibromoclorometano æg/L;Dibenzo(a,h)antraceno æg/L;Cr“mio Total mg/L;Criseno æg/L;Condutividade æS/cm;Colora‡Æo;Cobre Total mg/L;Cobre Dissolvido mg/L;Clorof¢rmio æg/L;Clorofila-a æg/L;Clorobenzeno æg/L;Cloreto Total mg/L;Cloreto de vinila æg/L;Cloreto de Metileno æg/L;cis-1,2-Dicloroeteno æg/L;Chuvas nas £ltimas 24h;Chumbo Total mg/L;Carbono Orgƒnico Total mg/L;C lcio Total mg/L;C dmio Total mg/L;Benzo(k)fluoranteno æg/L;Bromof¢rmio æg/L ;Bromodiclorometano æg/L ;Bromoclorometano æg/L;Bromobenzeno æg/L;Benzo(g,h,i)perileno æg/L;Benzo(b)fluoranteno  æg/L;Benzo(a)pireno æg/L;Benzo(a)antraceno  æg/L;Benzeno æg/L;B rio Total mg/L;Antraceno æg/L;Alum¡nio Total mg/L;Alum¡nio Dissolvido mg/L;Acenaftileno  æg/L;Acenafteno æg/L;4-Clorotolueno æg/L;2-Metil-Naftaleno æg/L;2-Clorotolueno  æg/L;2,2-Dicloropropano æg/L;1-Metil-Naftaleno æg/L;1,4-Diclorobenzeno  æg/L;1,3-Dicloropropano  æg/L;1,3-Diclorobenzeno  æg/L;1,3,5-Trimetilbenzeno  æg/L;1,3,5 Triclorobenzeno æg/L;1,2-Dicloropropano  æg/L;1,2-Diclorobenzeno æg/L;1,2-Dibromoetano æg/L;1,2 Dicloroetano æg/L;1,2,3-Triclorobenzeno æg/L;1,2,3-Tricloropropano  æg/L;1,2,4-Triclorobenzeno æg/L;1,2,4-Trimetilbenzeno  æg/L;1,1-Dicloroeteno æg/L;1,1-Dicloroetano æg/L;1,1-Dicloro-1-Propeno æg/L;1,1,2,2 - Tetracloroetano æg/L;1,1,2 - Tricloroetano æg/L;1,1,1,2 - Tetracloroetano æg/L;1,1,1 - Tricloroetano æg/L;Sistema H¡drico;Tipo de Sistema H¡drico;CLASSE;Munic¡pio;UF;Inicio Opera‡Æo;Fim Opera‡Æo;Latitude;Longitude;Altitude;Localiza‡Æo;Capta‡Æo;IQA
;2617;IPAU02600;Ativo;03/09/2024;11:32;1,78;0,1;0,2;;;;;;;;22;18;1;0,08;50;50;3,44;;1;0,82;;;6,31;;9,6;;0,01;0,1;1;1;0,02;;;0,0002;0,1;0,5;;;;;0,1;0,03;0,1;;;0,29;1,5;;;;196;3,3;;;;0,05;;24,1;Verde;0,005;0,005;;1,5;;3,27;;;;0;0,01;1,55;0,95;0,001;;;;;;;;;;;0,02;;0,1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;7,278
;2617;IPAU02600;Ativo;03/12/2024;10:39;2;0,1;0,2;;;;;;;;24;21;1;0,08;52;50;3,12;;1;0,67;;;7,34;;8,5;;0,01;0,18;1;1;0,02;;;0,0002;0,1;0,5;;;;;0,1;0,02;0,1;;;0,42;1,64;;;;136;3,3;;;;0,05;;22,7;Incolor;0,005;0,005;;1,5;;3,72;;;;1;0,01;2,59;0,94;0,001;;;;;;;;;;;0,02;;0,14;0,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;6,751
;2617;IPAU02600;Ativo;25/03/2025;11:36;2,42;0,1;0,2;;;;;;;;29;25;1;0,08;268;268;2,78;;1;0,67;;;7,04;;8,2;;0,01;0,38;1;1;0,02;;;0,0002;0,1;0,5;;;;;0,1;0,04;0,1;;;0,34;1,5;;;;80;3,3;;;;0,05;;49,5;Incolor;0,005;0,005;;1,5;;3,48;;;;0;0,01;2,33;0,8;0,001;;;;;;;;;;;0,02;;0,1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;7,981
;2617;IPAU02600;Ativo;24/06/2025;10:30;3,73;0,1;0,2;;;;;;;;22;18;1;0,08;294;292;2,86;;1;0,69;;;7,11;;9,4;;0,01;0,12;1;1;0,02;;;0,0002;0,1;0,5;;;;;0,1;0,02;0,1;;;0,27;1,56;;;;500;3,3;;;;0,05;;21,5;Verde;0,005;0,005;;1,5;;2,96;;;;1;0,01;2,7;0,76;0,001;;;;;;;;;;;0,02;;0,14;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;10,361
;2617;IPAU02600;Ativo;16/09/2025;10:35;9,65;0,1;0,2;;;;;;;;20;19;2,22;1,45;50;50;4,99;;0,01;0,77;;;6,65;;8,99;;10000000;0,1;1;1;0,02;;;0,0002;0,1;0,5;;;;;0,1;0,02;0,1;;;0,29;1,5;;;;57;3,3;;;;0,05;;23,6;Verde;0,005;0,005;;1,5;;2,98;;;;0;0,01;2,2;0,96;0,001;;;;;;;;;;;0,02;;0,1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;6,601
;2617;IPAU02600;Ativo;09/12/2025;10:55;2,06;0,1;0,2;;;;;;;;25;22;1,5;0,08;50;50;3,44;;1;0,69;;;6,58;;8,56;;0,01;0,12;1;1;0,02;;;0,0002;0,1;0,5;;;;;0,1;0,02;0,1;;;0,33;1,5;;;;188;3,3;;;;0,05;;23,2;Verde;0,005;0,005;;1,5;;3,76;;;;0;0,01;4,5;0,88;0,001;;;;;;;;;;;0,02;;0,11;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rio Itapanha£ - IPAU;Rio (L¢tico);Classe 2;BERTIOGA;SP;01/06/2016;;23 46 37 ;46 03 12 ;12;Na capta‡Æo da SABESP de Bertioga - Esta‡Æo de Tratamento de µgua Itapanha£ e capta‡Æo da Riviera de SÆo Louren‡o.;S;7,05
;206;CUBA02700;Ativo;31/03/2022;10:37;4,7;0,1;0,2;2,5;2,5;2;2,5;2;2,5;2,5;24;22;2,23;0,08;50;50;2,87;2,5;1;0,72;2,5;0,02;7,66;2,5;8,7;2,5;0,01;0,3;1;1;0,02;2,5;0,03;0,0002;0,1;0,91;5;2,5;0,08;5;0,1;0,03;0,1;0,02;0,02;0,21;0,48;0,02;2,5;5;580;10,3;10;2,5;0,015;0,05;0,015;38,7;Verde;0,005;0,005;2,5;0,8;2,5;3,53;2;2,5;2,5;1;0,01;1,04;2,63;0,001;0,015;10;2,5;10;2,5;0,08;0,015;0,01;0,015;2,5;0,02;0,02;0,1;0,1;0,05;0,02;2,5;0,05;2,5;10;0,05;2,5;2,5;2,5;2,5;2,5;2,5;2,5;10;5;2,5;10;5;2,5;5;2,5;2,5;2,5;10;2,5;2,5;Rio CubatÆo - CUBA;Rio (L¢tico);Classe 2;CUBATAO;SP;01/01/1977;;23 53 18 ;46 27 19 ;15;Na ponte Preta, em frente … antiga Esta‡Æo de Tratamento de µgua do Rio CubatÆo.;S;9,926
;206;CUBA02700;Ativo;09/06/2022;11:03;3,44;0,1;0,2;2,5;2,5;2;2,5;2;2,5;2,5;22;18;2,17;0,08;50;50;2,82;2,5;1;0,74;2,5;0,02;6,64;2,5;9,21;2,5;0,01;0,3;1;1;0,02;2,5;0,03;0,0002;0,1;0,97;5;2,5;0,08;5;0,1;0,02;0,1;0,02;0,02;0,28;0,62;0,02;2,5;5;1000;11,3;10;2,5;0,015;0,05;0,015;40,1;Verde;0,005;0,005;2,5;0,56;2,5;3,61;2;2,5;2,5;1;0,01;2,43;2,92;0,001;0,015;10;2,5;10;2,5;0,08;0,015;0,01;0,015;2,5;0,02;0,02;0,13;0,1;0,05;0,02;2,5;0,05;2,5;10;0,05;2,5;2,5;2,5;2,5;2,5;2,5;2,5;10;5;2,5;10;5;2,5;5;2,5;2,5;2,5;10;2,5;2,5;Rio CubatÆo - CUBA;Rio (L¢tico);Classe 2;CUBATAO;SP;01/01/1977;;23 53 18 ;46 27 19 ;15;Na ponte Preta, em frente … antiga Esta‡Æo de Tratamento de µgua do Rio CubatÆo.;S;9,828
;206;CUBA02700;Ativo;01/09/2022;10:06;1,82;0,1;0,2;2,5;2,5;2;2,5;2;2,5;2,5;20;15;2,31;0,08;100;100;2,89;2,5;1;0,81;2,5;0,02;7,22;2,5;10,1;2,5;0,01;0,28;1;1;0,02;2,5;0,03;0,0002;0,1;1,08;5;2,5;0,05;5;0,1;0,02;0,1;0,02;0,02;0,21;1,2;0,02;2,5;5;128;12,4;10;2,5;0,015;0,05;0,015;44;Verde;0,005;0,005;2,5;0,56;2,5;4,92;2;2,5;2,5;0;0,01;4,2;3,17;0,001;0,015;10;2,5;10;2,5;0,05;0,015;0,01;0,015;2,5;0,02;0,02;0,1;0,1;0,05;0,02;2,5;0,05;2,5;10;0,05;2,5;2,5;2,5;2,5;2,5;2,5;2,5;10;5;2,5;10;5;2,5;5;2,5;2,5;2,5;10;2,5;2,5;Rio CubatÆo - CUBA;Rio (L¢tico);Classe 2;CUBATAO;SP;01/01/1977;;23 53 18 ;46 27 19 ;15;Na ponte Preta, em frente … antiga Esta‡Æo de Tratamento de µgua do Rio CubatÆo.;S;7,017
;206;CUBA02700;Ativo;01/12/2022;10:40;6,31;0,1;0,2;2,5;2,5;2;2,5;2;2,5;2,5;26;20;1,84;0,08;100;100;2,72;2,5;1;0,55;2,5;0,02;6,57;2,5;9;2,5;0,01;0,21;1;1;0,02;2,5;0,03;0,0002;0,1;0,78;5;2,5;0,05;5;0,1;0,02;0,1;0,02;0,02;0,27;0,48;0,02;2,5;5;216;8,43;10;2,5;0,015;0,05;0,015;31,3;Verde;0,005;0,005;294;0,56;2,5;3,13;2;2,5;2,5;1;0,01;5,5;2,09;0,001;0,015;10;2,5;10;2,5;0,05;0,015;0,01;0,015;2,5;0,02;0,02;0,21;0,1;0,05;0,02;2,5;0,05;2,5;10;0,05;2,5;2,5;2,5;2,5;2,5;2,5;2,5;10;5;2,5;10;5;2,5;5;2,5;2,5;2,5;10;2,5;2,5;Rio CubatÆo - CUBA;Rio (L¢tico);Classe 2;CUBATAO;SP;01/01/1977;;23 53 18 ;46 27 19 ;15;Na ponte Preta, em frente … antiga Esta‡Æo de Tratamento de µgua do Rio CubatÆo.;S;8,527
