Cod_Interaguas;Código Ponto;Status Ponto;Data Coleta;Hora Coleta;Oxigênio Dissolvido mg/l;Escherichia coli** UFC/100mL;PH U.pH;Temperatura Da Agua C°;Nitrogênio Total;Nitrogênio-Nitrito mg/l;Nitrogênio-Nitrato mg/L;Nitrogênio Kjeldahl mg/l;Nitrogênio Amoniacal mg/L;Fósforo Total mg/l;Turbidez (UNT);Sólido Total;;;;;;Oxigênio Dissolvido mg/l;Escherichia coli** UFC/100mL;PH U.pH;Temperatura Da Agua C°;Nitrogênio Total;Fósforo Total mg/l        ;Turbidez (UNT)        ;Sólido Total;Total
2617;IPAU02600;Ativo;03/09/2024;11:32;9,60;196,00;6,31;18,00;2,11;0,01;0,10;1,00;1,00;0,03;1,78;50;Rio Itapanhaú - IPAU;Rio (Lótico);Classe 2;BERTIOGA;SP;1,537;2,453;1,271;1,374;1,086;0,680;1,053;1,422;7,278
2617;IPAU02600;Ativo;03/12/2024;10:39;8,50;136,00;7,34;21,00;2,19;0,01;0,18;1,00;1,00;0,02;2,00;52;Rio Itapanhaú - IPAU;Rio (Lótico);Classe 2;BERTIOGA;SP;1,502;2,305;1,296;1,398;1,090;0,650;1,064;1,427;6,751
2617;IPAU02600;Ativo;25/03/2025;11:36;8,20;80,00;7,04;25,00;2,39;0,01;0,38;1,00;1,00;0,04;2,42;268;Rio Itapanhaú - IPAU;Rio (Lótico);Classe 2;BERTIOGA;SP;1,492;2,106;1,289;1,425;1,101;0,702;1,083;1,654;7,981
2617;IPAU02600;Ativo;24/06/2025;10:30;9,40;500,00;7,11;18,00;2,13;0,01;0,12;1,00;1,00;0,02;3,73;294;Rio Itapanhaú - IPAU;Rio (Lótico);Classe 2;BERTIOGA;SP;1,531;2,876;1,290;1,374;1,087;0,650;1,126;1,668;10,361
2617;IPAU02600;Ativo;16/09/2025;10:35;8,99;57,00;6,65;19,00;2,20;0,10;0,10;1,00;1,00;0,02;9,65;50;Rio Itapanhaú - IPAU;Rio (Lótico);Classe 2;BERTIOGA;SP;1,518;1,988;1,279;1,382;1,091;0,650;1,226;1,422;6,601
2617;IPAU02600;Ativo;09/12/2025;10:55;8,56;188,00;6,58;22,00;2,13;0,01;0,12;1,00;1,00;0,02;2,06;50;Rio Itapanhaú - IPAU;Rio (Lótico);Classe 2;BERTIOGA;SP;1,504;2,436;1,278;1,405;1,087;0,650;1,067;1,422;7,050
206;CUBA02700;Ativo;31/03/2022;10:37;8,70;580,00;7,66;22,00;2,31;0,01;0,30;1,00;1,00;0,03;4,70;50;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,508;2,950;1,303;1,405;1,096;0,680;1,149;1,422;9,926
206;CUBA02700;Ativo;09/06/2022;11:03;9,21;1.000,00;6,64;18,00;2,31;0,01;0,30;1,00;1,00;0,02;3,44;50;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,525;3,236;1,279;1,374;1,096;0,650;1,118;1,422;9,828
206;CUBA02700;Ativo;01/09/2022;10:06;10,10;128,00;7,22;15,00;2,29;0,01;0,28;1,00;1,00;0,02;1,82;100;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,552;2,282;1,293;1,347;1,095;0,650;1,055;1,514;7,017
206;CUBA02700;Ativo;01/12/2022;10:40;9,00;216,00;6,57;20,00;2,22;0,01;0,21;1,00;1,00;0,02;6,31;100;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,518;2,494;1,277;1,390;1,092;0,650;1,180;1,514;8,527
